AGE,HOMEOWNER,HIT,MALEVET,VIETVETS,WWIIVETS,LOCALGOV,STATEGOV,FEDGOV,CARDPROM,MAXADATE,NUMPROM,CARDPM12,NUMPRM12,NGIFTALL,CARDGIFT,MINRAMNT,MINRDATE,MAXRAMNT,MAXRDATE,LASTGIFT,AVGGIFT,CONTROLN,HPHONE_D,CLUSTER2,CHILDREN,GIFTAMNT
78,Y,0,33,20,50,5,2,1,23,9702,58,4,8,16,7,5,8909,20,9301,15,13.5625,157275,0,4,0,10
69,Y,20,24,38,42,6,3,7,22,9702,82,7,34,23,7,25,9303,50,9402,35,39,11143,1,34,0,44
84,Y,0,21,20,37,5,1,2,9,9702,21,6,12,2,1,15,9511,15,9506,15,15,79747,0,57,0,15
50,Y,1,38,35,30,13,10,1,6,9702,15,3,7,1,1,20,9506,20,9506,20,20,160211,1,37,1,10
67,N,0,45,17,66,10,3,1,17,9612,36,2,4,10,6,3,9210,12,9409,10,6.6,190408,0,13,0,7
78,Y,3,37,16,75,3,1,3,30,9702,68,4,9,15,6,5,8904,12,9211,10,9.2,162209,1,4,0,10
65,Y,0,0,0,0,0,0,0,30,9702,65,6,13,20,11,3,9210,24,9508,24,12.5,40637,0,32,0,20
43,Y,2,5,23,20,9,4,0,24,9702,62,6,13,12,8,10,9110,17,9404,17,14.33333333,168358,1,31,0,10
42,N,0,32,27,36,3,1,7,31,9702,79,6,17,33,14,2,9301,15,9412,10,5.636363636,129360,0,36,0,15
54,Y,1,24,42,22,9,2,1,20,9702,52,6,13,5,1,10,9203,25,9512,25,19.4,148991,0,3,0,25
79,Y,1,76,7,67,13,3,2,6,9702,15,5,12,1,1,25,9601,25,9601,25,25,136372,1,13,0,10
90,N,17,4,0,54,4,0,0,12,9702,30,4,9,3,1,2,9310,17,9505,17,11.33333333,167482,0,17,0,17
78,N,0,39,26,41,6,3,2,32,9702,74,6,13,13,10,5,8704,26,9511,26,14.07692308,155921,0,42,0,25
69,N,5,44,41,12,0,11,3,31,9702,73,6,12,14,11,2,8608,18,9505,10,8.785714286,190626,0,50,0,10
66,Y,0,32,37,19,6,5,4,13,9702,29,7,17,4,3,5,9503,20,9512,15,12.5,186809,1,9,0,15
54,Y,0,40,15,68,2,2,3,23,9702,53,6,13,4,3,20,9601,25,9009,20,21.25,66220,0,19,0,20
79,Y,0,43,27,30,10,0,23,18,9702,50,4,10,5,2,5,8802,15,9212,15,11,161856,0,11,0,15
70,N,1,27,13,50,6,2,2,5,9702,14,3,10,1,1,15,9601,15,9601,15,15,88572,0,8,0,15
68,N,14,34,27,35,7,3,2,26,9702,63,6,15,11,9,5,8905,14,9510,14,9.727272727,85913,1,58,0,14
44,Y,5,34,19,50,3,1,6,18,9702,42,6,12,10,7,2,9601,10,9503,3,4,100447,0,22,0,3
64,Y,0,27,28,27,12,11,7,29,9702,69,6,13,9,7,15,8906,50,9107,50,39.44444444,166606,1,19,0,50
86,Y,0,17,14,45,2,1,2,28,9702,69,6,13,8,6,25,8902,60,9602,60,38.75,144076,0,1,0,50
54,N,3,39,26,40,8,7,1,13,9702,34,5,12,4,2,3,9308,16,9602,16,8,19260,1,16,0,17.5
53,Y,6,23,14,62,8,3,2,7,9702,18,6,16,2,2,3,9601,15,9601,15,9,2781,1,28,0,20
56,Y,0,36,32,34,11,4,8,5,9702,15,4,10,1,0,15,9510,15,9510,15,15,41920,0,45,0,15
56,N,11,19,49,15,7,3,0,9,9702,23,4,10,2,2,5,9405,15,9507,15,10,189882,1,32,0,10
47,Y,2,40,34,31,4,6,2,27,9702,74,5,12,21,11,3,9404,15,9108,10,10.19047619,32892,1,20,2,10
80,N,0,46,14,50,8,24,3,33,9702,84,6,16,21,17,5,9306,12,9101,10,8,190634,0,11,0,20
90,Y,4,27,27,63,6,2,3,11,9702,27,6,13,5,3,4,9506,10,9511,6,5.8,127759,1,52,0,6
46,Y,0,30,35,26,5,2,4,29,9702,63,6,12,8,6,10,9103,20,9412,16,13.5,101889,0,20,2,16
48,Y,2,18,28,37,5,3,4,27,9702,65,6,13,20,13,3,8910,30,9502,30,13.6,121071,0,10,0,15
72,Y,0,36,9,29,6,0,20,27,9702,62,6,13,14,11,3,8811,11,9501,11,6.214285714,153026,0,48,0,10
55,Y,8,33,47,13,12,6,5,20,9702,54,6,13,7,6,3,9101,15,9506,15,10,118805,1,9,0,20
75,N,0,25,40,24,11,3,4,30,9702,74,6,14,20,9,5,8801,20,9304,15,14.5,83983,0,18,0,15
64,N,0,26,23,19,9,0,1,30,9702,78,6,13,28,15,2,9011,10,9502,8,6.892857143,96039,0,59,0,9
80,Y,0,25,9,65,11,1,1,18,9702,60,4,15,7,2,10,9312,20,9104,16,15.85714286,397,1,7,0,16
70,Y,22,41,33,52,15,5,3,32,9702,70,6,13,30,19,1,9402,10,9407,8,4.733333333,63107,1,39,0,10
41,Y,0,26,33,39,0,0,8,27,9702,63,6,12,19,10,2,9107,10,9401,10,5.263157895,65558,1,28,0,10
50,N,0,22,42,23,2,0,3,28,9702,67,6,13,17,10,5,9503,10,9512,7,5.823529412,25107,0,38,0,5
66,Y,10,36,50,26,4,12,6,28,9702,75,4,11,28,15,2,9204,10,9510,10,5.285714286,153624,1,18,0,10
73,Y,0,48,35,43,7,1,2,15,9702,32,4,7,11,3,3,9311,12,9412,10,6.909090909,44410,1,55,0,8
76,N,0,25,42,20,14,3,1,14,9702,32,6,12,6,3,3,9506,10,9504,8,5,132456,0,43,0,7
28,N,0,45,48,6,8,4,19,17,9702,47,6,13,7,3,2,9402,20,9601,20,6.142857143,128976,0,25,0,10
58,Y,0,34,35,22,5,3,5,19,9702,44,6,12,8,5,10,9301,25,9409,25,16.5,99298,1,25,0,32
61,Y,11,18,41,23,3,1,3,17,9702,40,6,13,10,5,3,9402,10,9511,10,6.2,162814,1,7,0,10
36,N,0,27,24,45,5,9,1,9,9702,22,6,12,4,3,5,9506,20,9511,10,11.5,22696,0,44,4,20
37,N,0,30,28,35,2,3,2,15,9702,38,3,9,7,4,5,9301,15,9603,15,9.428571429,175582,0,45,0,15
68,N,0,33,25,36,9,8,1,11,9702,32,4,10,3,2,5,9302,15,9412,15,11.66666667,63436,0,53,0,51
58,N,11,26,21,32,5,5,1,29,9702,64,6,13,10,7,5,8902,20,9408,15,13.6,148544,0,1,0,10
54,Y,0,23,40,23,2,1,0,18,9702,50,6,13,6,4,10,9207,25,9512,25,15.83333333,167551,0,27,0,20
69,Y,33,42,34,30,7,8,7,9,9702,21,6,12,3,2,10,9507,12,9512,12,11.33333333,114197,1,53,0,11
76,N,0,34,33,33,7,1,2,8,9702,17,6,12,2,2,10,9507,15,9601,15,12.5,129899,0,25,0,12
94,N,29,36,22,22,2,35,0,26,9702,79,6,18,13,9,5,9111,36,9509,25,17.92307692,4211,0,12,0,25
54,Y,0,29,44,26,13,4,7,26,9702,57,4,9,9,6,1.5,8803,15,9504,15,4.944444444,161627,0,31,1,21
48,Y,0,37,28,40,13,18,14,33,9702,81,6,13,24,14,5,9005,40,8804,30,18.95833333,177640,0,57,0,30
66,N,0,49,10,58,2,0,0,21,9702,52,6,13,5,4,10,9103,20,9401,20,17,112319,1,13,0,30
66,Y,1,31,54,26,3,1,1,12,9702,25,6,11,3,0,10,9501,20,9505,20,15,152816,1,25,0,35
43,Y,0,31,45,25,5,4,12,32,9702,77,6,15,16,9,5,8811,10,8706,10,8.625,47827,1,43,0,10
32,Y,0,22,9,61,2,10,2,5,9702,13,4,11,1,0,15,9602,15,9602,15,15,121165,0,45,0,10
81,N,1,30,32,32,6,16,5,23,9702,62,6,13,10,6,5,8911,21,9512,21,15.1,87395,1,58,0,20
76,N,0,38,41,37,11,12,5,45,9702,111,13,31,29,15,3,9411,9,9402,6,5.551724138,1986,0,27,0,5
49,N,5,20,34,9,5,3,4,27,9702,77,6,14,37,16,5,9310,45,9111,19,19.43243243,190488,1,18,0,25
55,Y,2,60,26,31,9,12,20,6,9702,15,4,10,1,1,20,9509,20,9509,20,20,113690,1,33,0,10
62,Y,2,25,32,19,5,2,2,25,9702,58,5,11,16,8,5,9412,10,9010,7,7.3125,71332,1,56,1,7
38,Y,3,32,32,30,6,5,2,29,9702,89,6,14,19,10,3,8707,10,9007,10,6.368421053,8531,1,56,1,10
49,Y,0,23,27,26,4,6,3,30,9702,71,6,13,11,9,3,8612,25,9510,25,10.27272727,172432,0,48,2,5
87,Y,1,52,9,69,13,0,6,25,9702,63,5,12,17,7,2,9311,10,9512,5,4,102434,1,35,0,10
74,Y,0,29,28,33,6,5,1,20,9702,54,4,8,12,8,5,9002,13,9511,13,8.166666667,47738,0,60,0,12
69,Y,0,24,22,56,5,3,4,18,9702,49,6,13,9,1,5,9112,16,9512,16,10.44444444,149767,0,9,0,15
80,Y,4,38,22,50,9,5,3,32,9702,74,6,12,33,20,1,8702,7,9112,7,4.818181818,89653,1,32,0,3
87,N,0,39,25,34,9,2,4,26,9702,93,4,10,28,13,5,9111,14,9510,14,8.785714286,4390,1,22,0,10
58,Y,0,55,13,67,11,2,3,33,9702,74,6,14,12,8,5,8706,35,9412,25,18,92772,0,13,0,5
62,N,0,35,32,38,4,4,2,27,9702,67,3,6,36,16,3,9301,15,9206,14,8.5,58749,1,60,0,14
39,Y,0,31,53,9,8,1,3,31,9702,73,6,13,14,10,5,8703,18,9512,18,11.64285714,35328,0,5,0,20
69,Y,2,0,0,0,0,0,0,17,9702,46,6,13,4,2,5,9109,50,9512,50,23.75,26924,1,15,0,60
54,Y,0,58,14,62,7,3,3,10,9702,24,6,14,4,3,5,9509,10,9512,10,7.5,32198,0,13,0,9
70,N,27,25,42,18,3,4,4,34,9702,80,5,11,32,20,2,9312,10,9003,5,5.375,63113,1,52,0,5
50,Y,0,38,63,13,5,3,1,6,9702,16,4,10,1,0,25,9508,25,9508,25,25,26887,1,5,0,30
62,Y,0,9,34,33,10,5,2,7,9702,19,4,8,6,1,5,9511,9,9506,7,6.666666667,154158,0,57,0,7
36,N,6,11,29,6,5,1,8,28,9702,71,11,24,17,6,5,9601,11,9402,5,8.352941177,2757,1,47,0,10
82,Y,1,32,13,36,9,5,1,12,9702,26,5,11,3,1,3,9401,17,9512,17,11.66666667,59984,1,4,0,17
80,N,0,39,19,69,21,4,0,38,9702,106,8,18,45,14,5,9205,20,9106,20,13.06666667,9053,0,19,0,20
79,Y,17,43,28,39,9,1,0,23,9702,58,6,12,12,7,2,9211,10,9504,10,4.333333333,105650,0,39,0,10
46,Y,14,36,24,42,5,1,0,35,9702,85,6,13,32,19,5,9103,50,9503,36,19.3125,157106,0,2,1,26
57,Y,0,34,43,22,4,1,0,28,9702,73,5,10,18,10,5,9106,19,9003,17,11.66666667,83073,1,44,0,17
54,Y,0,42,35,42,8,4,4,15,9702,36,6,12,4,1,10,9405,15,9505,15,12.5,151518,0,17,0,15
92,Y,0,40,39,41,7,2,0,20,9702,48,6,13,7,4,3,9110,20,9601,20,11,131452,0,11,0,20
44,Y,0,27,68,0,6,1,3,9,9702,20,6,12,3,2,6,9510,11,9512,11,8.333333333,67333,0,5,1,8
54,Y,4,13,49,11,3,4,2,15,9702,34,6,12,8,7,3,9401,9,9406,6,6.5,157904,1,3,0,6
36,Y,0,37,80,4,7,4,9,20,9702,51,5,10,5,1,15,9201,26,9504,26,19.6,106649,1,5,0,26
85,N,1,27,22,35,11,1,2,5,9702,13,4,10,1,1,15,9601,15,9601,15,15,78802,1,23,0,15
56,N,1,34,39,35,1,5,0,21,9702,54,5,13,18,10,3,9212,10,9512,10,6.222222222,20488,0,49,0,14
54,Y,0,37,40,21,9,3,3,4,9702,10,3,8,1,1,23,9603,23,9603,23,23,142013,0,41,0,23
53,Y,0,44,24,44,5,3,5,18,9702,45,5,11,6,2,5,9101,15,9511,15,10.5,75180,0,33,0,15
78,N,0,25,29,4,3,8,6,31,9702,75,5,12,28,17,3,8810,15,9207,5,5.321428571,113186,0,33,0,5
34,N,0,24,64,18,9,3,2,24,9702,55,5,10,8,5,10,9102,16,9403,15,13.375,148869,0,12,0,15
61,Y,4,34,15,42,10,5,1,16,9702,46,6,13,7,4,3,9110,10,9412,10,7.285714286,44634,1,32,0,10
70,N,0,40,27,36,11,13,4,24,9702,58,6,13,14,6,5,9504,13,9506,11,8.571428571,184492,0,11,0,9
78,N,5,35,46,10,9,2,6,32,9702,76,5,11,36,23,3,8904,7,9105,6,5.555555556,155967,0,9,0,5
81,N,2,29,37,33,8,3,2,31,9702,66,5,9,23,13,3,9112,10,9007,10,5.347826087,118392,1,61,0,12
80,Y,1,20,48,2,3,6,1,18,9702,45,6,13,6,4,15,9307,31,9510,31,20.66666667,173737,1,37,0,20
76,Y,2,42,16,32,2,5,3,13,9702,30,6,13,6,2,10,9512,15,9412,10,10.83333333,50200,1,11,0,10
50,N,0,28,38,22,8,25,1,22,9702,58,7,18,30,14,3,9301,10,9412,7,6.733333333,186540,0,15,0,7
85,Y,2,40,54,33,7,8,1,27,9702,85,9,30,20,8,3,8905,7,9012,5,5.55,12171,0,25,0,5
80,N,0,33,38,23,8,1,1,34,9702,82,7,14,27,20,3,9505,5,9110,5,3.518518519,190619,1,17,0,3
46,Y,6,25,11,6,1,4,1,31,9702,75,6,13,26,14,1,9312,20,9602,20,3.269230769,107321,0,53,0,20
68,Y,0,41,23,25,5,7,0,15,9702,39,6,13,10,5,10,9401,50,9511,50,22.5,33284,0,44,0,20
74,Y,1,36,35,32,2,4,0,23,9702,67,5,15,14,9,3,8909,13,9602,13,7.214285714,129602,1,48,0,13
42,Y,0,20,29,60,5,0,20,9,9702,22,4,11,2,1,10,9502,15,9512,15,12.5,190839,0,35,2,15
78,N,0,46,35,43,6,7,10,28,9702,73,4,12,18,13,4,8806,12,8705,10,8.777777778,21107,1,53,0,7
73,Y,0,27,51,13,9,0,4,19,9702,48,6,14,6,2,5,9205,15,9503,15,9.5,179454,0,10,0,20
60,N,0,31,29,18,12,2,3,23,9702,57,6,13,16,7,3,9104,10,9512,10,5.9375,86073,1,57,0,10
52,N,0,33,10,59,18,0,3,29,9702,73,6,13,17,12,3,8703,14,9601,12,8.941176471,79395,1,39,0,12
81,Y,19,41,24,40,3,4,0,11,9702,25,6,12,4,2,5,9407,10,9506,10,8.75,72438,1,39,0,10
46,Y,4,36,14,42,3,3,4,8,9702,19,4,7,5,3,5,9507,7,9510,7,6,116053,1,11,1,6
72,N,0,25,41,7,4,3,0,25,9702,60,6,11,23,10,3,9505,8,9302,7,5.956521739,113882,0,55,0,5
59,N,0,36,28,36,14,5,3,28,9702,54,5,8,18,12,1.5,8711,15,9411,15,5.194444444,85797,1,57,0,14
57,N,0,19,42,35,11,6,7,30,9702,71,5,11,22,13,2,8909,7,9301,5,4.409090909,58147,0,62,0,5
74,Y,8,32,19,37,2,2,9,19,9702,47,6,13,5,4,10,9301,60,9507,50,37.2,47869,1,49,0,20
90,N,0,35,23,52,6,3,1,23,9702,62,6,13,6,3,10,8910,37,9512,37,23.83333333,32622,0,55,0,47
70,Y,46,19,27,21,3,0,3,11,9702,26,6,12,4,1,5,9410,10,9504,10,8.75,133305,1,56,0,5
83,Y,2,30,28,40,7,2,7,25,9702,64,6,13,13,6,5,9205,20,9512,20,12.30769231,92079,1,11,0,15
80,Y,2,37,41,20,7,2,3,7,9702,18,4,10,1,1,25,9506,25,9506,25,25,141468,1,24,0,25
56,N,0,24,36,27,7,9,2,20,9702,54,6,13,10,7,5,9111,15,9506,15,9.2,22644,0,61,1,21
48,Y,1,0,0,0,0,0,0,25,9702,61,6,13,12,6,3,9103,12,9512,12,7.25,29345,1,44,0,17
74,Y,0,32,25,30,19,2,2,30,9702,122,6,30,32,10,20,8912,33,9104,25,25.84375,4638,0,9,0,25
64,Y,1,41,21,65,2,2,4,24,9702,57,4,7,14,9,5,9110,20,9406,15,9.642857143,76470,1,26,2,10
41,N,0,24,45,14,9,3,1,21,9702,54,6,12,14,10,3,9504,5,9009,5,4.285714286,157860,1,2,0,4
31,N,0,57,32,35,6,10,26,10,9702,24,6,13,8,3,3,9601,7,9509,5,5.125,86322,0,57,0,5
81,N,2,11,14,61,0,5,2,18,9702,69,6,27,12,5,5,9302,40,9508,13,13.25,5881,0,13,0,12
86,N,0,38,44,26,16,3,1,17,9702,40,5,12,14,8,3,9301,10,9512,10,6.071428571,158567,0,32,0,6
73,N,4,32,29,36,5,4,2,20,9702,93,4,21,38,14,5,9510,15,9108,15,10.10526316,7507,1,22,0,10
69,Y,0,34,20,54,2,3,1,22,9702,61,6,13,12,5,5,9001,17,9503,10,11,156378,0,2,0,13
75,N,0,31,20,57,4,5,2,32,9702,80,5,12,21,18,3,8608,14,9509,14,8,190795,0,26,0,10
60,Y,4,27,37,23,15,5,1,31,9702,70,6,13,21,15,2,9312,25,9512,25,5,85476,1,57,0,5
27,N,4,33,43,7,10,1,10,10,9702,24,4,9,2,1,10,9409,16,9506,16,13,30117,1,38,0,16
70,N,0,14,74,0,14,0,8,15,9702,35,6,12,11,6,5,9407,16,9412,14,9.909090909,166261,0,31,0,12
48,Y,0,44,31,24,5,2,5,17,9702,47,4,9,7,4,5,9506,20,9504,5,8.571428571,181083,1,17,0,5
82,Y,0,58,36,40,5,3,18,21,9702,57,6,12,5,3,3,8909,50,9509,50,22.6,125164,0,26,0,50
75,Y,0,36,25,61,3,3,7,20,9702,48,6,13,5,4,10,9209,32,9505,32,22.8,151995,0,18,0,25
70,Y,0,29,27,37,11,5,2,24,9702,54,6,13,15,7,2,8901,10,8901,5,6.666666667,31094,0,61,2,5
80,Y,2,35,64,24,13,1,9,31,9702,79,6,13,23,14,3,8804,22,9407,20,14.62347826,125325,1,5,0,20
64,Y,2,31,28,51,4,7,1,29,9702,67,6,13,9,8,5,8807,15,9601,15,9.333333333,95097,1,53,0,10
72,Y,1,43,34,36,14,9,5,16,9702,42,6,13,4,2,5,9201,25,9512,25,11.75,165241,0,11,0,15
74,Y,13,0,0,0,0,0,0,27,9702,65,6,14,10,6,5,9001,100,9602,100,36.8,149792,1,31,0,100
40,Y,10,60,0,16,18,5,5,11,9702,26,6,12,5,4,5,9410,10,9508,9,7.8,84599,1,11,0,11
65,N,0,32,30,16,8,3,3,33,9702,80,6,13,16,12,2,8811,34,9309,32,20.875,35181,0,4,0,25
54,N,0,39,36,30,5,12,3,26,9702,69,6,14,30,12,3,9312,25,9104,14,12.8,140141,0,59,0,14
37,Y,4,33,0,33,3,0,2,14,9702,34,6,12,5,2,5,9310,10,9512,10,8.2,59561,1,44,1,9
31,Y,3,19,11,29,11,19,0,6,9702,15,4,10,1,0,15,9511,15,9511,15,15,103111,1,43,0,10
46,N,13,17,32,14,3,12,3,6,9702,15,5,13,1,0,25,9602,25,9602,25,25,190651,1,12,0,10
71,N,0,26,23,20,6,6,2,31,9702,71,6,11,14,7,10,9001,20,9407,15,14.07142857,180175,0,23,0,20
72,Y,8,32,21,45,9,6,2,10,9702,21,5,11,2,0,10,9503,15,9511,15,12.5,98901,1,59,1,25
53,Y,1,31,23,46,8,6,4,6,9702,14,5,11,1,1,23,9601,23,9601,23,23,152527,1,34,0,23
41,Y,2,22,44,24,3,4,0,19,9702,50,6,15,12,7,3,9203,15,9601,15,7.833333333,21386,1,53,2,10
67,Y,0,14,35,18,6,2,2,22,9702,54,6,11,10,4,10,9312,20,9302,16,13.7,37090,1,15,1,20
72,Y,0,34,24,50,6,10,2,12,9702,26,6,12,4,3,10,9407,14,9601,14,12,20106,0,13,1,12
77,N,0,32,31,31,15,2,1,14,9702,33,4,8,6,4,5,9309,12,9504,10,9.666666667,155528,0,10,0,10
48,Y,0,32,57,11,6,3,10,16,9702,40,6,12,4,2,10,9301,16,9508,16,12.5,153880,0,33,0,5
30,N,1,42,52,20,13,0,5,10,9702,23,5,12,3,1,15,9603,17,9512,15,15.66666667,125337,1,18,0,16
72,N,7,33,29,40,12,4,3,33,9702,74,7,17,22,12,2,9101,5,8701,3,3.727272727,190560,0,59,0,5
78,Y,2,49,19,42,8,4,15,27,9702,100,4,22,23,10,2,8710,10,9403,8,5.434782609,6076,1,49,0,10
56,Y,5,38,33,33,14,23,0,8,9702,18,6,13,2,0,10,9510,20,9512,20,15,132558,1,15,0,15
60,Y,1,29,18,49,7,3,1,30,9702,68,6,13,14,8,5,9210,20,9412,10,11.42857143,82857,1,21,0,10
60,Y,7,37,17,46,6,2,0,21,9702,57,5,11,6,4,15,9206,30,9501,20,21.66666667,149498,0,1,0,20
70,N,7,24,29,24,7,4,6,31,9702,71,6,13,28,16,2,9307,11,9506,10,3.857142857,164894,1,19,0,10
61,Y,35,34,6,60,9,5,2,27,9702,63,6,14,14,9,5,9602,10,9012,5,6.071428571,51528,1,35,0,5
79,Y,5,38,31,45,5,1,4,27,9702,69,6,13,19,9,3,8804,12,9510,12,8.578947368,45808,1,20,0,10
71,Y,0,17,26,32,6,9,2,33,9702,110,11,42,26,7,4,9404,20,9507,11,10.22692308,3985,0,53,0,12
53,N,4,32,37,30,7,5,2,35,9702,84,6,13,39,24,2,8808,10,9509,10,4.102564103,56113,1,54,0,5
59,Y,0,21,40,39,7,3,4,18,9702,44,6,13,5,2,5,9302,20,9502,20,14,157793,0,5,0,20
75,Y,1,26,58,6,9,4,2,29,9702,76,6,12,37,15,5,9205,20,9209,15,11.18918919,165707,0,11,0,15
34,Y,0,25,50,22,7,4,5,14,9702,32,6,12,5,3,3,9402,15,9507,15,7.8,64165,1,49,4,20
64,Y,1,38,34,38,4,4,0,24,9702,60,6,13,10,5,5,9104,25,9312,17,14.7,181891,1,53,0,25
79,N,24,35,24,47,10,1,1,24,9702,60,6,13,11,8,5,9101,21,9509,20,13.72727273,189520,1,2,0,20
77,N,1,46,10,63,13,2,0,27,9702,61,5,10,11,6,3,8809,17,9503,17,12.90909091,35017,1,55,0,10
80,N,3,43,7,41,8,0,4,20,9702,53,6,13,14,5,3,9512,8,9509,5,4.5,78669,1,49,0,6
76,Y,0,33,24,45,6,8,2,26,9702,87,6,25,29,11,5,9107,12,9103,8,9.517241379,12234,0,16,0,10
25,Y,7,15,11,39,6,0,1,13,9702,30,6,12,6,3,4,9411,13,9409,11,8.833333333,119315,0,50,1,13
72,Y,1,47,18,36,6,30,6,30,9702,69,6,13,15,9,3,8704,15,9110,10,9.6,103290,1,11,1,16
46,N,0,28,38,24,5,3,5,14,9702,38,6,16,8,4,5,9309,10,9602,10,7.375,33003,0,10,0,8
61,Y,10,14,12,61,4,5,1,9,9702,23,4,10,2,1,15,9408,17,9512,17,16,162997,1,45,0,21
